Data Figure 1.17: Decomposition: Emission Reduction Contribution from PC1-SD to SC2-FD;;;;;;;;;;;;;;;;;;;;
Sheet extracted from Planet Paper: Chanceletal2026Appendix_Emission_Output.xlsx Sheet D0;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;Emission Reduction Contribution by Factor;;;;;;;;% Contribution;;;;;;;;;;
;"Total 
Reduction";Labor Hours Reduction;Sectoral Change Contribution;Electricity Share Contribution;Electricity Mix Contribution;Primary Energy Mix Contribution;Emission Intensity Contribution;Energy Efficiency Gains;Agriculture & Land Use Contribution ;Labor Hours Reduction;Sectoral Change Contribution;Electricity Share Contribution;Electricity Mix Contribution;Primary Energy Mix Contribution;Emission Intensity Contribution;Energy Efficiency Gains;Agriculture & Land Use Contribution ;;;
2087;-123,1;-33,5;-10,0;-11,9;-11,8;-22,4;-18,3;-4,9;-10,5;27%;8%;10%;10%;18%;15%;4%;9%;;;
2088;-123,9;-33,6;-10,2;-11,8;-11,6;-22,6;-18,8;-4,8;-10,6;27%;8%;10%;9%;18%;15%;4%;9%;;;
2089;-124,7;-33,8;-10,3;-11,8;-11,3;-22,7;-19,4;-4,7;-10,6;27%;8%;9%;9%;18%;16%;4%;9%;;;
2090;-125,5;-34,0;-10,4;-11,7;-11,1;-22,9;-20,0;-4,6;-10,7;27%;8%;9%;9%;18%;16%;4%;9%;;;
2091;-127,0;-34,3;-10,6;-11,7;-10,9;-23,0;-20,7;-4,5;-11,3;27%;8%;9%;9%;18%;16%;4%;9%;;;
2092;-127,8;-34,5;-10,8;-11,6;-10,7;-23,2;-21,3;-4,4;-11,3;27%;8%;9%;8%;18%;17%;3%;9%;;;
2093;-128,6;-34,7;-10,9;-11,6;-10,4;-23,4;-22,0;-4,4;-11,4;27%;8%;9%;8%;18%;17%;3%;9%;;;
2094;-129,5;-34,8;-11,0;-11,5;-10,2;-23,5;-22,7;-4,3;-11,5;27%;9%;9%;8%;18%;17%;3%;9%;;;
2095;-130,3;-35,0;-11,2;-11,4;-10,0;-23,7;-23,4;-4,2;-11,5;27%;9%;9%;8%;18%;18%;3%;9%;;;
2096;-131,2;-35,2;-11,3;-11,4;-9,8;-23,8;-24,1;-4,1;-11,6;27%;9%;9%;7%;18%;18%;3%;9%;;;
2097;-132,1;-35,3;-11,4;-11,3;-9,5;-24,0;-24,8;-4,0;-11,7;27%;9%;9%;7%;18%;19%;3%;9%;;;
2098;-133,0;-35,5;-11,6;-11,3;-9,3;-24,1;-25,6;-3,9;-11,7;27%;9%;8%;7%;18%;19%;3%;9%;;;
2099;-133,9;-35,7;-11,7;-11,2;-9,1;-24,3;-26,3;-3,8;-11,8;27%;9%;8%;7%;18%;20%;3%;9%;;;
2100;-134,7;-35,8;-11,8;-11,2;-8,8;-24,4;-27,2;-3,8;-11,8;27%;9%;8%;7%;18%;20%;3%;9%;;;
Total Contribution;-6299;-1622;-479;-654,2;-890,1;-1035,1;-652,0;-356,9;-610;26%;8%;10%;14%;16%;10%;6%;10%;;;
