Data Figure 2.6: Data series on average health expenditures (public + private) per capital (2025 Euro PPP);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sheet extracted from Platform Paper: Botheetal2026AppendixMacro.xlsx Sheet G3c;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;World;Europe;North America/ Oceania;Latin America;Middle East/ North Africa;Sub-Saharan Africa;Russia/ Central Asia;East Asia;South & South-East Asia;DE;DK;ES;FR;GB;IT;NL;NO;SE;OC;QM;US;CA;AU;NZ;OH;AR;BR;CL;CO;MX;OD;AE;DZ;EG;IR;MA;SA;TR;OE;CD;CI;ET;KE;ML;NE;NG;RW;SD;ZA;OJ;RU;OA;CN;JP;KR;TW;OB;BD;IN;ID;MM;PK;PH;TH;VN;OI;
1995;592;1 825;3 994;726;310;75;538;214;110;2 495;3 004;1 848;2 707;1 613;2 422;1 953;3 740;2 051;2 399;477;4 333;3 048;2 544;1 270;185;1 493;1 063;708;691;547;292;987;248;221;197;111;1 921;244;329;2;115;12;57;47;27;31;5;20;543;47;797;249;39;1 695;554;580;326;29;108;117;33;75;113;284;92;199;
1996;602;1 879;4 071;710;327;71;527;222;115;2 574;3 008;1 889;2 774;1 611;2 473;2 045;3 581;2 138;2 459;533;4 431;2 975;2 617;1 293;175;1 462;986;810;711;581;295;895;251;240;194;106;1 970;302;341;1;119;12;54;61;25;28;5;17;536;41;785;238;44;1 718;628;594;323;27;111;124;35;77;124;302;101;204;
1997;628;1 955;4 177;755;348;76;646;241;121;2 651;3 075;1 871;2 732;1 852;2 634;2 179;3 971;2 159;2 554;554;4 538;3 128;2 702;1 378;179;1 559;1 053;863;743;634;304;925;237;278;189;104;2 063;344;361;2;99;14;61;61;30;31;5;15;568;46;982;268;56;1 806;627;656;332;28;120;128;33;74;144;321;104;205;
1998;641;2 051;4 338;750;374;74;538;254;121;2 734;3 239;1 970;2 797;1 949;2 724;2 298;4 847;2 229;2 692;623;4 706;3 281;2 885;1 496;184;1 615;975;960;715;690;319;1 065;246;314;200;118;1 930;358;420;2;95;15;61;71;35;37;5;18;516;49;780;265;71;1 836;545;721;336;27;133;104;28;72;122;257;101;204;
1999;663;2 137;4 515;757;357;72;460;294;125;2 776;3 224;2 083;2 851;2 045;2 835;2 424;4 413;2 359;2 824;712;4 911;3 271;3 064;1 523;184;1 697;983;932;656;696;329;1 004;233;303;183;121;1 433;437;399;1;95;14;71;63;37;49;8;19;482;45;664;230;106;1 926;656;712;343;26;140;112;29;72;117;257;95;201;
2000;699;2 252;4 708;772;375;70;499;351;124;3 037;3 198;2 207;3 014;2 142;3 067;2 492;3 452;2 410;2 837;765;5 148;3 306;3 033;1 545;178;1 638;1 007;1 017;659;734;336;855;220;349;213;120;1 578;483;373;2;86;9;48;58;31;38;7;27;511;45;713;259;156;2 030;776;774;384;25;141;104;37;71;101;254;100;208;
2001;734;2 332;4 990;813;398;83;588;364;132;3 062;3 297;2 236;3 054;2 325;3 186;2 584;3 665;2 594;2 953;805;5 463;3 479;3 185;1 580;176;1 506;1 103;1 066;709;781;349;1 048;251;386;255;129;1 628;440;401;4;78;10;51;51;32;54;8;24;622;54;839;309;157;2 112;992;747;404;23;151;115;38;64;97;240;123;232;
2002;763;2 427;5 362;736;388;80;720;384;135;3 072;3 374;2 300;3 168;2 477;3 259;2 774;4 293;2 783;3 067;873;5 893;3 668;3 255;1 724;182;999;943;1 044;698;802;351;1 207;255;398;167;138;1 401;495;400;3;69;10;50;44;33;46;11;25;622;52;1 044;360;178;2 134;1 009;760;411;25;154;121;38;64;95;298;110;224;
2003;798;2 503;5 684;790;404;88;719;408;144;3 113;3 392;2 356;3 316;2 597;3 238;2 876;4 580;2 874;3 236;909;6 271;3 776;3 444;1 736;177;1 080;1 026;1 024;710;915;352;1 076;239;396;271;146;1 382;525;374;6;68;9;52;56;31;103;25;30;547;55;1 021;386;193;2 193;1 176;805;446;27;163;135;36;49;110;296;120;269;
2004;821;2 572;5 898;829;398;94;752;425;150;2 988;3 572;2 557;3 428;2 730;3 392;2 946;4 424;2 862;3 345;952;6 511;3 866;3 698;1 855;185;1 190;1 097;961;736;956;357;1 015;239;380;240;159;1 154;565;393;6;66;11;49;54;33;110;23;35;617;58;1 049;427;206;2 256;1 199;882;453;30;172;138;34;56;114;308;130;257;
2005;846;2 656;6 068;872;369;96;830;443;161;3 042;3 685;2 714;3 552;2 786;3 501;2 976;4 205;2 969;3 416;1 034;6 706;3 985;3 734;2 030;188;1 359;1 156;1 012;791;941;391;801;219;328;196;167;1 085;609;357;6;67;11;54;51;43;113;21;35;662;55;1 187;443;210;2 351;1 337;934;433;32;181;174;37;64;136;340;145;235;
2006;872;2 780;6 239;899;395;97;851;459;169;3 119;3 971;2 781;3 664;2 865;3 626;3 955;4 193;3 028;3 489;1 135;6 888;4 226;3 785;2 179;195;1 445;1 198;924;869;941;415;842;233;353;232;189;1 133;692;347;6;61;14;49;49;45;110;20;43;694;56;1 201;473;216;2 393;1 544;969;462;37;194;178;33;78;138;338;170;232;
2007;905;2 840;6 357;982;437;101;1 095;470;179;3 140;4 246;2 851;3 696;2 996;3 523;4 250;4 353;3 125;3 602;1 183;7 018;4 347;3 845;2 144;202;1 600;1 331;1 015;938;970;470;984;287;339;284;206;1 198;738;393;6;60;16;56;45;34;102;24;52;760;60;1 617;534;224;2 429;1 639;1 009;464;41;201;193;45;76;148;349;211;272;
2008;923;2 924;6 437;1 034;452;106;1 033;499;186;3 252;4 290;2 929;3 715;3 153;3 617;3 997;3 927;3 183;3 722;1 294;7 096;4 461;3 963;2 364;196;1 740;1 376;1 287;985;958;529;1 086;313;402;314;229;1 094;730;391;4;52;14;58;34;37;102;27;39;825;64;1 487;547;243;2 523;1 836;1 101;503;43;207;193;49;63;166;399;220;296;
2009;964;3 021;6 580;1 084;521;104;1 104;557;192;3 425;4 463;2 981;3 832;3 220;3 585;4 471;4 839;3 250;3 798;1 326;7 217;4 893;4 008;2 493;207;1 864;1 469;1 353;1 025;951;550;1 382;445;402;366;269;1 381;707;493;5;56;15;63;31;36;98;29;39;804;66;1 619;556;296;2 655;1 909;1 175;532;45;217;171;61;67;177;383;237;342;
2010;973;3 039;6 695;1 092;497;100;1 065;593;198;3 479;4 211;2 896;3 928;3 241;3 672;4 604;4 731;3 248;3 714;1 331;7 362;4 911;4 114;2 438;197;2 041;1 473;1 372;1 071;920;542;1 018;413;424;362;292;1 207;711;457;5;57;20;68;28;34;94;33;25;770;63;1 480;627;320;2 759;2 150;1 270;567;51;209;211;60;66;186;409;289;372;
2011;979;3 022;6 685;1 115;506;102;1 010;645;194;3 495;4 273;2 789;4 010;3 171;3 554;4 634;4 450;3 268;3 668;1 349;7 349;4 878;4 294;2 498;192;2 179;1 471;1 478;1 124;901;580;843;404;411;340;311;1 672;741;417;5;49;24;77;22;34;92;37;23;823;62;1 384;617;362;2 893;2 294;1 311;633;58;199;213;61;52;190;439;288;383;
2012;1 000;2 993;6 757;1 182;522;108;1 101;689;204;3 484;4 383;2 600;4 019;3 218;3 410;4 669;4 502;3 325;3 585;1 348;7 420;4 899;4 416;2 584;194;2 210;1 559;1 646;1 388;949;586;634;469;474;336;320;1 769;713;441;8;64;22;81;13;31;96;37;44;889;65;1 522;663;405;3 014;2 155;1 344;759;60;209;215;87;67;210;470;286;380;
