Data Figure 1.15: Total World GDP and GNE (Trillions Euros PPP 2025);;;;;;;;;;;;;;;;;;;;;;;
Sheet extracted from Planet Paper: Chanceletal2026Appendix_MacroScenarios.xlsx Sheet R0;;;;;;;;;;;;;;;;;;;;;;;
;Gross Domestic Product;;;;;Gross National Expenditure;;;;;;Share of material sectors in GNE;;;;Share of manufacturing in GNE;;;;Share of energy in GNE;;;
Year;PI2;PC1;SC2;PC1/PI2;SC2/PI2;PI2;PC1;SC2;PI2/PI2;PC1/PI2;SC2/PI2;PI2;PC1;SC2;SC2/PI2;PI2;PC1;SC2;SC2/PI2;PI2;PC1;SC2;SC2/PI2
2024;134,5;134,5;134,5;100;100;134,2;134,2;134,2;100;100;100;52%;52%;52%;100;15%;15%;15%;100;3%;3%;3%;100
2025;138,8;138,8;138,8;100;100;138,7;138,7;138,7;100;100;100;53%;53%;53%;100;15%;15%;15%;100;3%;3%;3%;100
2026;144,1;143,1;141,3;99;98;143,9;143,0;141,2;100;99;98;53%;53%;52%;98;15%;15%;15%;98;3%;3%;3%;98
2027;149,5;147,6;143,9;99;96;149,3;147,6;143,9;100;99;96;53%;53%;52%;96;15%;15%;15%;96;3%;3%;3%;96
2028;155,2;152,4;146,6;98;94;155,0;152,4;146,7;100;98;95;53%;53%;52%;94;15%;15%;15%;94;3%;3%;3%;94
2029;161,1;157,3;149,4;98;93;160,8;157,4;149,6;100;98;93;53%;53%;52%;92;15%;15%;15%;92;3%;3%;3%;92
2030;167,1;162,4;152,2;97;91;166,9;162,7;152,6;100;98;91;53%;53%;52%;90;15%;15%;15%;90;3%;3%;3%;90
2031;173,4;167,8;155,2;97;90;173,2;168,2;155,8;100;97;90;53%;53%;51%;88;15%;15%;14%;88;3%;3%;3%;88
2032;179,8;173,4;158,3;96;88;179,7;174,1;159,1;100;97;89;53%;53%;51%;86;15%;15%;14%;86;3%;3%;3%;86
2033;186,6;179,3;161,5;96;87;186,5;180,2;162,6;100;97;87;53%;53%;51%;85;15%;15%;14%;85;3%;3%;3%;84
2034;193,5;185,4;164,8;96;85;193,6;186,7;166,3;100;96;86;53%;53%;51%;83;15%;15%;14%;83;3%;3%;3%;83
2035;200,7;191,9;168,3;96;84;201,0;193,5;170,2;100;96;85;53%;53%;51%;82;15%;15%;14%;82;3%;3%;3%;81
2036;208,3;199,0;172,2;96;83;208,7;200,8;174,3;100;96;84;53%;53%;50%;80;15%;15%;14%;81;3%;3%;3%;80
2037;216,2;206,4;176,2;95;82;216,7;208,4;178,6;100;96;82;53%;53%;50%;79;15%;15%;14%;80;3%;3%;3%;78
