Data Figure 2.15a: Data series on regional composition of  personal wealth  (World Bottom 50%);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sheet extracted from Platform Paper: Botheetal2026AppendixDistribution.xlsx sheet K6b;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;World;Europe;North America/ Oceania;Latin America;Middle East/North Africa;Subsaharan Africa;Russia/ Central Asia;East Asia;South & South-East Asia;DE   ;DK;ES;FR;GB;IT;NL;NO;SE;OC;QM;US;CA;AU;NZ;OH;AR;BR;CL;CO;MX;OD;AE;DZ;EG;IR;MA;SA;TR;OE;CD;CI;ET;KE;ML;NE;NG;RW;SD;ZA;OJ;RU;OA;CN;JP;KR;TW;OB;BD;IN;ID;MM;PK;PH;TH;VN;OI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1810;5,2%;0,5%;0,1%;0,1%;0,2%;0,5%;0,2%;2,0%;1,6%;0,0%;0,0%;0,1%;0,1%;0,1%;;-0,0%;-0,0%;0,0%;0,1%;0,2%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;-0,0%;0,2%;0,1%;0,1%;1,8%;0,1%;0,0%;0,0%;0,0%;0,1%;1,3%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1811;5,3%;0,6%;0,1%;0,1%;0,2%;0,5%;0,2%;2,0%;1,7%;0,0%;0,0%;0,1%;0,2%;0,1%;;-0,0%;-0,0%;0,0%;0,1%;0,2%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;-0,0%;0,2%;0,1%;0,1%;1,8%;0,1%;0,0%;0,0%;0,0%;0,1%;1,3%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1812;5,2%;0,6%;0,1%;0,1%;0,2%;0,5%;0,2%;2,0%;1,7%;0,1%;0,0%;0,1%;0,2%;0,1%;;-0,0%;-0,0%;0,0%;0,1%;0,2%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;-0,0%;0,2%;0,1%;0,1%;1,8%;0,1%;0,0%;0,0%;0,0%;0,1%;1,3%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1813;5,2%;0,6%;0,1%;0,1%;0,2%;0,5%;0,2%;2,0%;1,7%;0,0%;0,0%;0,0%;0,2%;0,1%;;-0,0%;-0,0%;0,0%;0,1%;0,2%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;-0,0%;0,2%;0,1%;0,1%;1,8%;0,1%;0,0%;0,0%;0,0%;0,1%;1,3%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1814;5,2%;0,5%;0,1%;0,1%;0,2%;0,5%;0,2%;1,9%;1,7%;0,0%;0,0%;0,0%;0,2%;0,1%;;-0,0%;-0,0%;0,0%;0,1%;0,2%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;-0,0%;0,2%;0,1%;0,1%;1,8%;0,1%;0,0%;0,0%;0,0%;0,1%;1,3%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1815;5,1%;0,5%;0,1%;0,1%;0,2%;0,4%;0,2%;1,9%;1,7%;0,0%;0,0%;0,0%;0,2%;0,1%;;-0,0%;-0,0%;0,0%;0,1%;0,2%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;-0,0%;0,2%;0,1%;0,1%;1,8%;0,1%;0,0%;0,0%;0,0%;0,1%;1,3%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1816;5,1%;0,5%;0,1%;0,1%;0,2%;0,4%;0,2%;1,9%;1,6%;0,1%;0,0%;0,0%;0,2%;0,0%;;-0,0%;-0,0%;0,0%;0,1%;0,2%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;-0,0%;0,2%;0,1%;0,1%;1,8%;0,1%;0,0%;0,0%;0,0%;0,1%;1,3%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1817;5,1%;0,5%;0,1%;0,1%;0,2%;0,4%;0,2%;1,8%;1,7%;0,1%;0,0%;0,0%;0,2%;0,1%;;-0,0%;-0,0%;0,0%;0,1%;0,2%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;-0,0%;0,2%;0,1%;0,1%;1,7%;0,1%;0,0%;0,0%;0,0%;0,1%;1,3%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818;5,0%;0,5%;0,1%;0,1%;0,2%;0,4%;0,2%;1,8%;1,6%;0,0%;0,0%;0,0%;0,2%;0,0%;;-0,0%;-0,0%;0,0%;0,0%;0,2%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;-0,0%;0,2%;0,1%;0,1%;1,7%;0,1%;0,0%;0,0%;0,0%;0,1%;1,3%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1819;4,9%;0,5%;0,1%;0,1%;0,2%;0,4%;0,2%;1,8%;1,6%;0,1%;0,0%;0,0%;0,2%;0,0%;;-0,0%;-0,0%;0,0%;0,1%;0,2%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;-0,0%;0,2%;0,1%;0,1%;1,7%;0,1%;0,0%;0,0%;0,0%;0,1%;1,3%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1820;4,8%;0,5%;0,1%;0,1%;0,2%;0,4%;0,2%;1,8%;1,6%;0,0%;0,0%;0,0%;0,1%;0,0%;;-0,0%;-0,0%;0,0%;0,0%;0,2%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;-0,0%;0,2%;0,1%;0,1%;1,6%;0,1%;0,0%;0,0%;0,0%;0,1%;1,2%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1821;4,7%;0,4%;0,1%;0,1%;0,2%;0,4%;0,2%;1,8%;1,5%;0,0%;0,0%;0,0%;0,1%;0,0%;;-0,0%;-0,0%;0,0%;0,0%;0,2%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;-0,0%;0,2%;0,1%;0,1%;1,6%;0,1%;0,0%;0,0%;0,0%;0,1%;1,2%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1822;4,6%;0,4%;0,1%;0,1%;0,2%;0,4%;0,2%;1,7%;1,5%;0,0%;0,0%;0,0%;0,1%;0,0%;;-0,0%;-0,0%;0,0%;0,0%;0,2%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;-0,0%;0,2%;0,1%;0,1%;1,6%;0,1%;0,0%;0,0%;0,0%;0,1%;1,2%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1823;4,6%;0,4%;0,1%;0,1%;0,2%;0,4%;0,2%;1,7%;1,5%;0,0%;0,0%;0,0%;0,1%;0,0%;;-0,0%;-0,0%;0,0%;0,0%;0,2%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;-0,0%;0,2%;0,1%;0,1%;1,6%;0,1%;0,0%;0,0%;0,0%;0,1%;1,2%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;4,6%;0,4%;0,1%;0,1%;0,2%;0,4%;0,2%;1,7%;1,5%;0,0%;0,0%;0,0%;0,1%;0,0%;;-0,0%;-0,0%;0,0%;0,0%;0,2%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;-0,0%;0,2%;0,1%;0,1%;1,6%;0,1%;0,0%;0,0%;0,0%;0,1%;1,2%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1825;4,7%;0,5%;0,1%;0,1%;0,2%;0,4%;0,2%;1,8%;1,5%;0,0%;0,0%;0,0%;0,1%;0,0%;;-0,0%;-0,0%;0,0%;0,0%;0,2%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;-0,0%;0,2%;0,1%;0,1%;1,6%;0,1%;0,0%;0,0%;0,0%;0,1%;1,2%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1826;4,7%;0,5%;0,1%;0,1%;0,2%;0,4%;0,2%;1,7%;1,6%;0,0%;0,0%;0,0%;0,1%;0,1%;;-0,0%;-0,0%;0,0%;0,0%;0,2%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;-0,0%;0,2%;0,1%;0,1%;1,6%;0,1%;0,0%;0,0%;0,0%;0,1%;1,2%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1827;4,7%;0,5%;0,1%;0,1%;0,2%;0,4%;0,2%;1,7%;1,6%;0,0%;0,0%;0,0%;0,1%;0,1%;;-0,0%;-0,0%;0,0%;0,0%;0,2%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;-0,0%;0,2%;0,1%;0,1%;1,6%;0,1%;0,0%;0,0%;0,0%;0,1%;1,2%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828;4,7%;0,5%;0,1%;0,1%;0,2%;0,4%;0,2%;1,8%;1,6%;0,0%;0,0%;0,0%;0,1%;0,1%;;-0,0%;-0,0%;0,0%;0,0%;0,2%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;-0,0%;0,2%;0,1%;0,1%;1,6%;0,1%;0,0%;0,0%;0,0%;0,1%;1,2%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1829;4,7%;0,5%;0,1%;0,1%;0,2%;0,4%;0,2%;1,8%;1,6%;0,0%;0,0%;0,0%;0,1%;0,1%;;-0,0%;-0,0%;0,0%;0,0%;0,2%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;-0,0%;0,2%;0,1%;0,1%;1,6%;0,1%;0,0%;0,0%;0,0%;0,1%;1,2%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
