Data Figure 2.5: Data series on average education expenditures (public + private) per capital (2025 Euro PPP);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sheet extracted from Platform Paper: Botheetal2026AppendixMacro.xlsx Sheet G3b;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;World;Europe;North America/ Oceania;Latin America;Middle East/ North Africa;Sub-Saharan Africa;Russia/ Central Asia;East Asia;South & South-East Asia;DE;DK;ES;FR;GB;IT;NL;NO;SE;OC;QM;US;CA;AU;NZ;OH;AR;BR;CL;CO;MX;OD;AE;DZ;EG;IR;MA;SA;TR;OE;CD;CI;ET;KE;ML;NE;NG;RW;SD;ZA;OJ;RU;OA;CN;JP;KR;TW;OB;BD;IN;ID;MM;PK;PH;TH;VN;OI;
1999;521;1 534;3 024;516;503;111;347;306;126;1 734;2 583;1 386;2 068;1 804;1 732;2 128;2 802;2 576;1 929;603;3 223;2 257;2 597;2 149;359;962;474;888;382;667;356;1 777;360;398;258;162;3 049;415;507;16;96;27;214;36;49;143;67;8;442;85;439;243;103;1 859;1 090;1 139;377;154;69;213;22;147;146;375;118;304;
2000;541;1 576;3 145;549;471;113;350;336;134;1 748;2 556;1 416;2 133;2 010;1 775;2 079;2 162;2 427;1 958;636;3 363;2 262;2 683;2 150;369;948;499;927;382;778;368;1 627;338;402;226;166;2 540;443;472;16;84;31;204;47;47;138;64;8;444;92;444;247;116;1 940;1 200;1 768;427;169;88;203;23;102;125;403;146;330;
2001;555;1 632;3 284;566;505;112;428;311;142;1 780;2 595;1 422;2 157;2 168;1 841;2 096;2 340;2 542;2 003;684;3 547;2 101;2 768;2 169;354;914;507;993;364;821;395;1 973;345;406;246;174;3 230;379;500;16;83;29;207;48;43;127;98;8;423;98;544;300;135;1 549;1 283;1 001;456;202;94;210;23;101;120;361;172;372;
2002;580;1 707;3 383;567;520;119;534;335;151;1 740;2 690;1 458;2 226;2 493;1 875;2 185;2 630;2 653;2 072;735;3 652;2 203;2 833;2 247;368;576;516;1 031;488;852;404;2 197;355;413;297;178;2 883;410;508;15;86;27;237;53;45;152;106;9;407;105;703;347;158;1 545;1 417;1 063;480;183;107;218;24;102;123;384;193;393;
2003;595;1 749;3 467;596;512;130;537;354;155;1 730;2 678;1 468;2 234;2 581;1 925;2 293;2 890;2 668;2 126;787;3 749;2 223;2 940;2 320;372;608;519;994;465;978;424;2 127;340;390;292;192;2 833;437;468;18;92;32;252;72;36;163;106;11;473;112;685;375;172;1 584;1 532;1 115;503;197;112;218;25;102;118;379;231;393;
2004;603;1 744;3 560;602;510;139;564;371;155;1 692;2 811;1 533;2 212;2 593;1 852;2 319;2 720;2 687;2 128;796;3 853;2 249;3 090;2 408;373;658;547;976;392;941;443;2 262;340;395;289;204;2 327;480;479;18;95;41;274;74;39;180;107;12;499;120;714;399;185;1 600;1 656;1 204;493;209;112;224;28;106;110;394;235;352;
2005;620;1 785;3 623;643;495;149;646;385;162;1 699;2 781;1 525;2 247;2 609;1 938;2 359;2 523;2 777;2 166;876;3 928;2 311;3 085;2 499;268;811;564;954;408;981;502;1 983;335;432;265;204;1 986;546;459;20;96;49;305;72;45;190;113;12;548;126;813;468;201;1 588;1 629;1 196;466;229;119;225;28;131;100;419;219;346;
2006;640;1 835;3 682;671;526;149;715;408;170;1 728;2 881;1 579;2 291;2 685;1 961;2 465;2 512;2 829;2 157;951;4 001;2 350;3 047;2 519;247;947;605;827;411;982;530;2 179;338;390;296;218;2 141;620;482;20;90;58;302;79;49;201;119;17;595;114;894;524;226;1 561;1 671;1 217;490;256;124;218;29;166;100;436;269;335;
2007;668;1 856;3 746;735;568;158;853;440;183;1 714;2 833;1 635;2 276;2 762;1 984;2 595;2 594;2 836;2 162;963;4 078;2 363;3 090;2 542;235;1 093;694;894;414;990;595;2 387;360;375;360;233;2 171;681;533;21;101;63;283;79;55;213;121;18;651;123;1 099;589;258;1 551;1 866;1 228;504;283;129;229;31;181;107;496;388;350;
2008;688;1 889;3 827;811;572;166;885;455;199;1 755;2 875;1 683;2 318;2 785;1 888;2 624;2 369;2 839;2 229;1 038;4 177;2 285;3 255;2 503;208;1 206;783;1 217;426;1 017;673;2 386;351;409;309;257;2 220;708;539;23;99;66;233;80;54;233;115;15;686;133;1 130;625;273;1 540;2 059;1 210;550;292;155;225;34;193;116;500;385;353;
2009;720;1 930;3 894;854;605;171;946;494;224;1 839;3 039;1 710;2 348;2 813;1 896;2 807;2 992;2 843;2 288;1 011;4 191;2 613;3 662;2 468;212;1 259;851;1 291;559;1 035;673;2 273;464;415;340;281;2 097;679;613;22;102;58;190;93;64;250;141;15;709;139;1 230;644;313;1 585;2 072;1 334;577;291;181;277;40;184;125;488;402;444;
2010;734;1 952;3 961;879;630;180;915;524;226;1 920;3 053;1 672;2 386;2 883;1 893;2 772;2 895;2 837;2 311;1 003;4 286;2 591;3 577;2 520;211;1 337;910;1 298;561;1 041;668;1 786;524;412;331;304;2 323;745;625;22;117;64;234;82;54;278;163;11;658;154;1 141;678;350;1 565;2 045;1 462;614;317;182;314;41;161;126;508;363;412;
2011;744;1 909;3 925;921;671;200;855;547;247;1 934;3 000;1 598;2 384;2 667;1 761;2 701;2 667;2 879;2 300;1 025;4 266;2 580;3 334;2 542;203;1 495;948;1 391;606;1 057;700;1 589;567;376;304;346;3 427;835;587;26;98;83;249;90;61;292;162;12;784;170;1 045;656;362;1 658;2 190;1 466;663;340;204;351;44;160;137;530;346;474;
2012;764;1 859;3 901;940;690;213;928;620;260;1 922;3 095;1 484;2 384;2 591;1 665;2 636;2 640;2 927;2 222;976;4 227;2 509;3 535;2 591;203;1 484;959;1 531;636;1 076;722;1 351;649;387;249;373;3 576;865;620;30;150;93;273;83;70;288;180;17;830;189;1 129;719;445;1 689;2 079;1 453;727;336;208;386;92;161;146;619;399;485;
2013;776;1 875;3 919;969;731;210;972;626;273;1 988;3 052;1 453;2 399;2 713;1 602;2 588;2 686;2 957;2 221;973;4 244;2 551;3 604;2 466;194;1 581;1 036;1 549;708;988;752;1 514;651;458;244;388;3 660;899;651;33;173;80;263;78;82;301;198;17;840;177;1 213;726;452;1 737;2 041;1 436;716;346;218;386;116;197;166;610;433;502;
2014;788;1 904;3 961;985;775;214;900;633;294;1 980;3 154;1 499;2 405;2 771;1 610;2 609;2 898;3 076;2 219;1 010;4 289;2 537;3 759;2 496;196;1 510;1 006;1 544;749;1 117;755;1 668;701;482;242;398;4 096;933;662;32;182;87;282;90;118;324;180;14;838;170;1 146;647;466;1 631;2 128;1 496;731;379;250;417;141;216;137;598;350;504;
